publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p021047,,2017-01-08T18:54:20.050Z,2017-01-08T18:56:38.544Z,173.2249961,-42.51331189,2.569496256,25.625,M,,NonLinLoc,,automatic,nz3drx,23,23,8,0.2516035459,129.9112701,0.7826189048,0
2017p020969,,2017-01-08T18:12:40.292Z,2017-01-08T18:15:28.670Z,174.3893657,-41.70797763,2.447334462,12.96875,M,,NonLinLoc,,automatic,nz3drx,26,26,16,0.138258729,143.9917547,0.6836424155,0
2017p020908,,2017-01-08T17:39:59.639Z,2017-01-08T17:42:29.545Z,173.2703196,-42.57971777,2.666358658,25.15625,M,,NonLinLoc,,automatic,nz3drx,27,27,13,0.2575473014,137.2143533,0.660258222,0
2017p020823,earthquake,2017-01-08T16:54:57.113Z,2017-01-08T23:35:54.971Z,172.8878784,-42.66329193,2.585189669,7.665091515,M,,LOCSAT,confirmed,manual,iasp91,9,6,2,0.3225525916,105.6225082,0.1644107596,0
2017p020801,,2017-01-08T16:43:03.820Z,2017-01-08T16:44:16.181Z,174.4168436,-41.56198746,1.622237373,14.84375,M,,NonLinLoc,,automatic,nz3drx,11,11,4,0.2438004251,126.9759001,0.5088028349,0
2017p020792,,2017-01-08T16:38:23.472Z,2017-01-08T16:40:37.576Z,173.8271464,-42.26546427,2.261873517,12.03125,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.2617491991,186.2379207,1.082659943,0
2017p020765,,2017-01-08T16:23:41.684Z,2017-01-08T16:25:59.154Z,178.1710229,-38.75279493,2.152259617,18.125,M,,NonLinLoc,,automatic,nz3drx,12,12,4,0.2707131937,226.8755608,1.181064967,0
2017p020722,earthquake,2017-01-08T16:01:01.644Z,2017-01-08T23:38:46.347Z,174.1610107,-41.68153763,2.080997492,7.734707355,M,,LOCSAT,confirmed,manual,iasp91,15,10,6,0.2162135541,129.4896088,0.2728933624,0
2017p020702,,2017-01-08T15:50:17.005Z,2017-01-08T15:51:51.019Z,174.4168436,-41.56198746,1.923066313,16.71875,M,,NonLinLoc,,automatic,nz3drx,13,13,6,0.2438004251,126.9759001,0.5904411703,0
2017p020651,,2017-01-08T15:23:00.581Z,2017-01-08T15:24:41.134Z,174.0774868,-41.80893563,1.617667427,24.21875,M,,NonLinLoc,,automatic,nz3drx,10,10,4,0.1179305406,153.3073921,0.672079776,0
2017p020650,,2017-01-08T15:22:24.648Z,2017-01-08T15:23:57.698Z,177.9408961,-38.94063307,1.915250175,31.71875,M,,NonLinLoc,,automatic,nz3drx,15,15,6,0.2169582643,162.962338,0.577583447,0
2017p020643,,2017-01-08T15:19:02.703Z,2017-01-08T15:21:32.671Z,174.0159589,-41.84717475,1.942899088,20.46875,M,,NonLinLoc,,automatic,nz3drx,19,19,7,0.1662326614,145.8015661,0.711852042,0
2017p020637,earthquake,2017-01-08T15:15:39.032Z,2017-01-08T23:40:34.477Z,174.2093658,-41.67279053,2.452036407,9.684049606,M,,LOCSAT,confirmed,manual,iasp91,20,13,8,0.07623797655,94.67176056,0.3098671,0
2017p020605,,2017-01-08T14:58:39.362Z,2017-01-08T15:01:11.202Z,174.0586145,-41.8517612,2.203712519,15.78125,M,,NonLinLoc,,automatic,nz3drx,22,22,9,0.1547021015,141.7245123,0.6130156814,0
2017p020587,,2017-01-08T14:49:10.603Z,2017-01-08T14:51:15.237Z,174.3073663,-41.63550489,1.693980758,14.84375,M,,NonLinLoc,,automatic,nz3drx,10,10,2,0.3331743997,131.7776503,0.4137843063,0
2017p020555,,2017-01-08T14:31:46.387Z,2017-01-08T14:34:20.137Z,174.0953871,-41.75190098,2.143297855,17.890625,M,,NonLinLoc,,automatic,nz3drx,24,24,8,0.08849716621,112.209977,0.6433949902,0
2017p020522,,2017-01-08T14:14:27.145Z,2017-01-08T14:17:49.940Z,172.5909092,-41.81541613,2.397867837,70.15625,M,,NonLinLoc,,automatic,nz3drx,26,26,6,0.2395257619,80.34459258,0.9904046395,0
2017p020521,,2017-01-08T14:14:07.356Z,2017-01-08T14:17:35.937Z,178.3771513,-37.46340229,2.601328687,22.8125,M,,NonLinLoc,,automatic,nz3drx,22,22,12,0.1182238949,242.873757,1.105591665,0
2017p020470,earthquake,2017-01-08T13:46:46.880Z,2017-01-08T19:11:43.832Z,174.1503601,-41.67565536,3.590076222,10.41992569,M,,LOCSAT,confirmed,manual,iasp91,20,13,11,0.08735463768,64.34112549,0.3099066678,0
2017p020452,,2017-01-08T13:37:14.393Z,2017-01-08T13:49:34.596Z,173.7326045,-42.46962593,3.339128919,21.40625,M,,NonLinLoc,,automatic,nz3drx,51,51,31,0.1521975093,149.7167782,1.434144112,0
2017p020448,,2017-01-08T13:35:13.489Z,2017-01-08T13:36:58.253Z,176.8753634,-38.47646801,1.979731595,45.3125,M,,NonLinLoc,,automatic,nz3drx,25,25,15,0.08249732566,70.66394775,0.6987180819,0
2017p020411,,2017-01-08T13:15:05.373Z,2017-01-08T13:40:47.345Z,173.8020635,-42.26640279,2.77551489,22.8125,M,,NonLinLoc,,automatic,nz3drx,22,22,8,0.2462180707,160.9277216,0.8714525295,0
2017p020390,,2017-01-08T13:03:52.654Z,2017-01-08T13:05:14.140Z,173.7917569,-42.01414199,1.909867041,24.21875,M,,NonLinLoc,,automatic,nz3drx,13,13,3,0.304633719,150.7729301,0.8488817121,0
2017p020375,earthquake,2017-01-08T12:56:08.686Z,2017-01-08T19:14:18.046Z,173.7885895,-42.00434113,4.16593398,6.061986923,M,,LOCSAT,confirmed,manual,iasp91,19,13,11,0.2964439094,135.3266449,0.4441822749,0
