publicid	eventtype	origintime	modificationtime	longitude	 latitude	 magnitude	 depth	magnitudetype	depthtype	evaluationmethod	evaluationstatus	evaluationmode	earthmodel	usedphasecount	usedstationcount	magnitudestationcount	minimumdistance	azimuthalgap	originerror	magnitudeuncertainty
2017p008970	earthquake	2017-01-04T07:39:23.557Z	2017-01-04T08:11:22.384Z	176.1455688	-40.59593582	4.129498465	18.17465019	M		LOCSAT	confirmed	manual	iasp91	19	11	9	0.1134136915	88.75389481	0.6416925231	0
2017p008967		2017-01-04T07:37:49.427Z	2017-01-04T07:41:46.121Z	173.7286421	-42.13911601	3.338681649	29.84375	M		NonLinLoc		automatic	nz3drx	35	35	17	0.3112835135	137.9646759	0.7686358867	0
2017p008959		2017-01-04T07:33:35.126Z	2017-01-04T07:35:59.606Z	176.1336693	-37.5634668	2.845085694	68.75	M		NonLinLoc		automatic	nz3drx	10	10	3	1.019615773	242.8086365	1.364681107	0
2017p008938		2017-01-04T07:22:28.317Z	2017-01-04T07:24:12.469Z	174.2767695	-41.71718408	2.08691779	9.453125	M		NonLinLoc		automatic	nz3drx	14	14	5	0.0579808237	159.4089243	0.3694760767	0
2017p008927		2017-01-04T07:16:34.864Z	2017-01-04T07:18:18.191Z	174.0691884	-41.78199787	2.05960004	17.65625	M		NonLinLoc		automatic	nz3drx	20	20	6	0.1128302614	135.5531614	0.5453119864	0
2017p008925		2017-01-04T07:15:36.539Z	2017-01-04T07:18:00.388Z	168.7786655	-44.09846194	2.79528311	5.46875	M		NonLinLoc		automatic	nz3drx	12	12	4	0.023793256	143.0713458	0.8390456919	0
2017p008921		2017-01-04T07:13:06.208Z	2017-01-04T07:16:52.369Z	168.7842284	-44.10196463	3.199040342	5.46875	M		NonLinLoc		automatic	nz3drx	25	25	13	0.0270720753	132.8553989	1.327941931	0
2017p008836		2017-01-04T06:28:03.014Z	2017-01-04T06:30:04.749Z	172.9524876	-42.23999588	2.616116004	10.15625	M		NonLinLoc		automatic	nz3drx	13	13	6	0.4674058252	63.1072333	0.6143302462	0
2017p008806		2017-01-04T06:12:18.417Z	2017-01-04T06:14:17.625Z	172.8751576	-42.65507318	2.903247583	19.53125	M		NonLinLoc		automatic	nz3drx	13	13	2	0.3336063344	95.41509657	0.3631186007	0
2017p008805		2017-01-04T06:11:35.383Z	2017-01-04T06:13:34.096Z	174.1120155	-39.98306146	2.457977074	68.75	M		NonLinLoc		automatic	nz3drx	11	11	3	0.8346725726	186.1962198	1.236405421	0
2017p008783		2017-01-04T06:00:06.749Z	2017-01-04T06:32:18.977Z	174.7256184	-39.89980121	4.149866827	102.03125	M		NonLinLoc		automatic	nz3drx	140	140	103	0.2478163851	65.87338976	1.06334636	0
2017p008750		2017-01-04T05:42:19.994Z	2017-01-04T05:43:56.306Z	176.2680203	-40.49967174	1.986992646	21.40625	M		NonLinLoc		automatic	nz3drx	13	13	7	0.1831981771	153.0790761	0.2241840864	0
2017p008730		2017-01-04T05:31:41.752Z	2017-01-04T05:35:08.203Z	173.9109731	-42.32797081	3.342264013	35.46875	M		NonLinLoc		automatic	nz3drx	57	57	31	0.2892212155	148.9606723	0.9985743128	0
2017p008709		2017-01-04T05:20:25.535Z	2017-01-04T05:23:17.069Z	178.2876469	-37.82453145	2.759594542	6.171875	M		NonLinLoc		automatic	nz3drx	19	19	9	0.1010362505	101.8208461	1.23866629	0
2017p008706		2017-01-04T05:18:45.397Z	2017-01-04T05:20:55.305Z	177.8619109	-37.5039822	2.685966582	70.625	M		NonLinLoc		automatic	nz3drx	12	12	5	0.2631141956	246.2186715	1.183842307	0
2017p008705		2017-01-04T05:18:21.501Z	2017-01-04T05:21:05.280Z	173.9073095	-42.27113448	2.748174943	16.71875	M		NonLinLoc		automatic	nz3drx	13	13	7	0.3093971256	167.4290109	0.4711901183	0
